week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1981-10-05/1981-10-11,24.507738095238096,78.58928571428571,19.995833333333334,3.6,3.6,0,1011.8916666666667,946.792261904762,45.708333333333336,26.142857142857142,25.184523809523807,24.232142857142854,0.7705357142857142,5.364880952380952,87
1981-10-12/1981-10-18,25.360119047619047,50.39880952380952,13.238095238095239,0.0,0.0,0,1013.0017857142857,948.002380952381,5.351190476190476,1.5773809523809523,6.398809523809524,0.27380952380952384,1.7907738095238095,7.692857142857143,3
1981-10-19/1981-10-25,25.31964285714286,47.5654761904762,12.423809523809524,0.2,0.2,0,1013.4494047619048,948.4190476190477,22.714285714285715,1.8333333333333335,29.744047619047617,12.011904761904761,1.8473214285714283,8.828571428571427,2
1981-10-26/1981-11-01,24.782142857142855,70.0,18.510714285714283,12.8,12.8,0,1011.645238095238,946.6160714285714,53.94047619047619,15.648809523809522,31.422619047619044,72.80357142857143,1.0295833333333333,12.758333333333335,27
1981-11-02/1981-11-08,22.554761904761904,62.13095238095239,13.74047619047619,2.6,2.6,0,1012.3184523809524,946.7738095238095,25.696428571428573,22.297619047619047,7.148809523809524,4.422619047619047,1.161607142857143,9.257142857142856,77
1981-11-09/1981-11-15,23.166071428571428,47.69642857142856,10.516666666666667,0.0,0.0,0,1014.6541666666666,949.0863095238095,2.4404761904761902,0.5476190476190476,3.226190476190476,0.017857142857142856,1.6467857142857143,8.111904761904762,90
1981-11-16/1981-11-22,20.686904761904763,39.94642857142857,5.3999999999999995,0.0,0.0,0,1014.5410714285715,948.4452380952381,0.0238095238095238,0.0,0.03571428571428571,0.0,1.6270833333333332,8.854166666666666,90
1981-11-23/1981-11-29,19.948214285714283,42.86309523809524,5.616666666666666,0.0,0.0,0,1014.5666666666666,948.3041666666667,0.0,0.0,0.0,0.0,1.5158333333333334,7.867857142857143,92
1981-11-30/1981-12-06,22.186309523809523,51.64880952380952,11.055357142857144,0.0,0.0,0,1016.1273809523809,950.260119047619,20.863095238095237,7.095238095238095,18.214285714285715,12.488095238095239,1.4107738095238098,8.267261904761906,16
1981-12-07/1981-12-13,18.563095238095237,32.86904761904761,0.9482142857142856,0.0,0.0,0,1017.6803571428571,950.9190476190478,0.4642857142857143,0.0,0.0,1.5476190476190474,1.5484523809523807,11.477380952380953,33
